339366,$1000000,7,34,33,100,''
339419,$100,9,34,30,100,''
339655,$335650,5,40,,135.9,''
339673,$900000,6,66,61,100,''
339682,$904425,10,30,,100,''
339697,$23,3,30,,23,''
339749,$1128000,4,43,,97,''
339836,$290620,4,44,,99.97999999999999,''
340019,$756000,4,47,47,100,''
340048,$332860,4,30,,97.9,''
340092,$420000,4,48,,100,''
340159,$290400,5,58,60,24.200000000000003,''
340265,$161.98,6,37,35,161.98,''
340383,$18000,1,64,62,100,''
340413,$250000,4,29,,99.99999999999999,''
340450,$2920590,8,44,,100.71,''
340561,$149,2,37,36,149,''
340732,$3,7,36,38,3,''
340795,$199999.99999999997,10,37,,367.00000000000006,''
340816,$166.6,6,30,,166.60000000000002,''
340955,$525000,2,30,35,70,''
341059,$12000,4,64,67,2,''
341085,$100.000042919,3,33,,100.00004291899998,''
341571,$1495120,9,60,62,99.56000000000002,''
341820,$100,6,36,36,100,''
341998,$749850,10,41,40,99.98000000000002,''
342202,$46,4,40,,46,''
342305,$690360,18,55,49,57.53000000000001,''
342451,$2008000,9,55,,100.4,''
342586,$100.00000000000001,10,45,42,1110.5,''
342968,$100,5,33,,100,''
343225,$98.85,4,40,45,98.85,''
343317,$99.94000000000003,4,62,,99.94000000000001,''
343662,$75000,4,29,,99.99999999999999,''
343738,$99.90200000000002,2,23,,99.90200000000002,''
343752,$18800,2,,,20,''
343772,$250000,5,25,,100,''
344051,$420000,4,39,190,100,''
344105,$98.1,6,35,,98.1,''
344166,$525450,5,40,,105.09000000000002,''
344227,$750000,3,63,,100,''
344281,$230580,6,28,,100,''
344373,$100,5,27,,100,''
344458,$472550,6,39,38,116.4,''
344753,$100,6,36,,100,''
344866,$87.5,4,36,,87.5,''
344870,$3682200,4,54,55,99.99999999999999,''
344973,$100,3,24,,100,''
345039,$100,1,28,,100,''
345060,$1700000,8,51,50,250,''
345291,$4,1,31,,4,''
345319,$100,9,30,,100,''
345434,$100,4,35,34,99.99999999999999,''
345445,$1242000,5,60,50,54,''
345506,$764400,2,41,,98,''
345742,$1250500,5,32,,100.04,''
345748,$152250,2,60,,30.450000000000003,''
345815,$1081780.3367297265,7,41,36,595.7300000000001,''
345845,$100,4,37,,100,''
345896,$559350,6,39,4,99,''
345954,$100,1,25,,100,''
346025,$100,6,55,51,100,''
346297,$2955000,7,54,50,98.50000000000001,''
346366,$100000,3,26,,95,''
346416,$38.290000000000006,9,55,,38.290000000000006,''
346460,$552500,8,41,40,110.5,''
346462,$99.89999999999999,4,44,,99.89999999999999,''
346574,$958425,7,36,,98.30000000000001,''
346653,$100,1,50,,100,''
346899,$506000,2,55,,100,''
346997,$280000,5,32,32,100,''
347011,$100,13,56,57,200.01999999999998,''
347035,$100,3,30,,100,''
347161,$520000,4,49,,104,''
347198,$736189.3320000002,4,68,,89.71,''
347201,$250000,9,33,,100,''
347360,$1499100,6,61,67,99.99999999999999,''
347371,$100,1,38,,100,''
347374,$650065,6,50,,100.01000000000002,''
347375,$99.99000000000001,5,,,99.99000000000001,''
347449,$94.17999999999998,12,38,43,94.17999999999998,''
347508,$100,4,28,29,200,''
347532,$384000,3,61,1959,100,''
347540,$73.24999999999999,4,52,,73.24999999999999,''
347633,$2499750,3,40,,99.99000000000001,''
347925,$146.9,8,30,,146.9,''
348195,$2459968,9,52,51,99.98,''
348318,$90.74,6,59,,90.74,''
348387,$34,3,45,,34,''
348471,$105.768,3,29,,105.768,''
348587,$131,5,30,,131,''
348638,$100.1,7,49,51,100.1,''
348645,$105.768,3,29,,105.768,''
349049,$3417340,8,44,,100.50999999999999,''
349230,$2002000,4,44,,100.1,''
349249,$109.50999999999999,10,45,43,109.50999999999999,''
349376,$660000,6,36,,100,''
349411,$103.01,7,35,35,103.01,''
349444,$180.7,6,47,40,180.7,''
349499,$335000,3,50,,200,''
349646,$76200,8,29,,100,''
349702,$620000,4,35,,100,''
349773,$430000,3,64,,100,''
350048,$731000,2,57,,86,''
350050,$32,3,30,40,32,''
350063,$99067.5,12,32,33,94.35000000000002,''
350068,$938100,7,60,58,106,''
350188,$1775000,3,71,,71,''
350283,$100,3,79,,100,''
350407,$4750000,2,68,,95,''
350557,$5100000,8,42,,68,''
350653,$712500,1,,,100,''
350657,$100,4,32,36,99.99999999999999,''
350668,$100,5,,,99.99999999999999,''
351444,$243500,4,28,,97.4,''
351492,$92,5,36,,92,''
351622,$294000,4,38,38,100,''
351792,$375000,6,37,37,100,''
351865,$436.85,4,33,32,99.99000000000001,''
351993,$100,7,52,61,100,''
352160,$2518750,14,44,,100.74999999999999,''
352235,$96,4,35,,96,''
352268,$2000000,4,55,,100,''
352271,$100,7,33,,100,''
352302,$6,3,43,,6,''
352533,$980000,6,43,42,100,''
352589,$105.44000000000001,3,29,,105.44000000000001,''
352673,$2495000,6,48,44,99.8,''
352734,$136,1,66,1,136,''
352867,$2500000,5,63,,100,''
353056,$2160000,7,59,46,99.99999999999999,''
353113,$100,2,19,,100,''
353130,$330000,4,26,,100,''
353135,$1320800,5,52,48,101.6,''
353152,$748500,5,35,,99.80000000000003,''
353230,$380000,3,59,,25,''
353238,$100,6,85,,100,''
353307,$475000,5,40,,95,''
353402,$1096852.25,5,36,37,99.85000000000001,''
353684,$200000,4,33,,300,''
353736,$100,7,63,,100.00000000000001,''
353834,$33.599999999999994,5,37,,91.8,''
353888,$7500,4,31,26,300,''
353956,$372400,3,32,,98,''
353989,$99.99999999999999,3,67,62,300,''
353997,$756400,4,37,37,61,''
354374,$99.97,5,61,,99.97,''
354384,$49.5,6,63,,99,''
354444,$200000,3,40,38,100,''
354531,$250000,3,30,28,200,''
354534,$1126015,11,72,76,102.365,''
354632,$498500,4,34,38,99.7,''
354856,$750000,3,40,,199.96,''
354960,$7500000,6,60,54,206,''
355145,$1300000,2,44,37,101,''
355221,$2500000,7,36,34,100,''
355380,$132,6,,,132,''
355388,$1350000,1,52,46,27,''
355464,$269190,6,25,,99.7,''
355635,$930000,6,32,35,99.1,''
355704,$100.00000000000001,6,34,,500.01,''
355810,$19322.89,3,43,42,100,''
355921,$414428,2,66,,85.4,''
355960,$858000,5,46,45,100,''
355988,$100,8,30,,100,''
356011,$591970399.9999998,5,65,,500.00000000000017,''
356021,$100,2,38,,100,''
356120,$275000,5,39,35,420,''
356224,$99.87,8,40,10,99.86999999999998,''
356226,$172000,2,37,,43,''
356371,$1118260,7,35,,101.66000000000001,''
356407,$100,2,36,,257,''
356408,$718720,4,39,,89.83999999999997,''
356635,$100,5,30,,400,''
356651,$99.99999999999999,7,38,,203.5,''
356728,$491000,7,36,34,100,''
356930,$1680000,7,45,42,105,''
356974,$99.97,4,29,,99.97,''
356994,$98,10,44,36,98,''
357477,$1708875,4,42,,200,''
357497,$1986000,8,43,42,99.3,''
357506,$100,2,39,5,100,''
357507,$1608000,7,61,67,103,''
357531,$163200,3,31,,99,''
357551,$100,4,34,,300,''
357597,$30000.000000000004,4,20,,199.71999999999997,''
357928,$599800,4,50,,97.95,''
357973,$100,5,30,,400,''
358026,$99.96,9,33,31,99.96000000000001,''
358211,$1155000,7,35,,98,''
358434,$1001000,1,49,53,91,''
358802,$2000000,5,47,45,100,''
358897,$2997000,5,39,39,99.89999999999999,''
358898,$142000,3,27,,202,''
358920,$120000,1,31,,40,''
359129,$639360,4,44,44,99.90000000000002,''
359172,$1305000,4,53,26,100,''
359173,$250000,5,30,,500,''
359309,$119000.00000000001,5,39,,249,''
359394,$750000,2,76,,100,''
359559,$100,5,63,62,100,''
359573,$485000.0000000001,3,34,36,300,''
359686,$649999.9999999999,5,43,,282.13,''
359770,$407000,2,1,64,98.6,''
359851,$500000,6,34,34,362.6,''
359923,$100.00000000000001,5,33,,100,''
359989,$600000,5,50,,100.00000000000001,''
360060,$99498.88888888888,6,,,319.5,''
360120,$826000,6,34,,118,''
360129,$100,8,32,29,100,''
360173,$1385100,4,63,65,46.17000000000001,''
360218,$48152,6,34,35,92.6,''
360483,$33,2,38,,33,''
360598,$764400,9,33,,83.99999999999999,''
360737,$2.9999999999999996,6,34,48,100,''
360829,$40000,4,48,,160,''
360864,$6988800,5,47,,87.36,''
360877,$1494000,5,47,,100.4,''
360948,$94,1,65,66,94,''
360951,$100,6,30,31,300,''
361065,$200000,4,35,,100,''
361089,$1492500,7,50,40,99.5,''
361177,$99.29999999999998,3,39,,99.3,''
361274,$920000,6,54,52,100,''
361350,$491000,7,36,34,100,''
361401,$100,5,31,,305,''
361425,$445627.20000000007,6,35,37,98.15,''
361444,$101,4,36,,101,''
361957,$28000000,5,50,,500,''
362041,$137340,4,75,,36.3,''
362189,$388935,4,26,,86.43,''
362247,$2440176,7,50,,99.99999999999999,''
362302,$2137960,6,38,,98.18,''
362439,$100,5,33,,100,''
362538,$1632000,9,36,,101.99999999999997,''
362563,$1566000,8,35,37,87,''
362786,$224500,2,95,,200,''
362844,$100,2,30,,100,''
362915,$494000,2,73,,100,''
362981,$249975,7,30,30,99.99000000000001,''
363007,$299700,6,32,,99.89999999999999,''
363436,$500000,4,35,,100,''
363535,$3000000,2,68,61,101,''
363716,$1,9,34,31,1,''
363854,$742600,5,52,53,47,''
363955,$181,10,35,33,181,''
363994,$200000,5,37,,100,''
364045,$825000,2,52,,400,''
364218,$171,4,55,,171,''
364240,$100,4,30,,100,''
364635,$100,7,44,51,100,''
364693,$700000.0000000001,5,32,,310,''
364719,$929683.576092416,7,33,,199.1,''
364730,$250000,4,33,31,99.99999999999999,''
365006,$5000000,2,76,,100,''
365093,$2491250,6,49,49,99.64999999999999,''
365246,$1350000,7,47,35,100,''
365273,$99.99999999999999,5,46,,199.99,''
365564,$161.66,6,60,62,161.66,''
365573,$1198800,9,52,,99.90000000000002,''
365607,$500000,6,31,,100,''
365705,$16312.000000000002,4,32,,73.41,''
365870,$250000,5,76,70,100,''
365906,$499000,6,34,,99.79999999999998,''
365943,$283500,7,40,38,100,''
366017,$99.99999999999999,8,46,,199.98000000000002,''
366018,$1898100,6,56,,99.89999999999998,''
366179,$100,5,,,100,''
366184,$150000,3,33,35,100,''
366199,$99.99999999999999,4,50,,300,''
366236,$34923.1690281381,5,29,32,200.44,''
366371,$364000,4,30,,99.5,''
366395,$68400,6,25,,100,''
366506,$100.2,4,59,,100.2,''
366565,$749600,4,35,34,500,''
366590,$78,4,,,78,''
366606,$740000,5,37,38,100,''
366615,$76000,5,24,,100,''
366687,$185.88,11,37,35,185.88000000000002,''
366772,$26032.5,2,53,,99.8,''
366866,$99.98999999999998,5,52,,99.98999999999998,''
366958,$480000,5,70,2023,40,''
367047,$1,2,32,31,1,''
367333,$3,2,35,,3,''
367416,$149.49999999999997,6,67,70,149.50000000000003,''
367663,$106657.2,5,35,,100.61999999999999,''
367721,$1890900,2,33,33,99,''
367793,$93.6,6,37,,93.6,''
367806,$205318,6,36,40,100.02999999999999,''
367882,$1228320,7,52,,102.36,''
367947,$4.370950000000001,1,70,77,101.65,''
